model,dataset,batch_size,epochs,lr,split,accuracy,precision,recall,f1,specificity,loss
dual_fusion_mobilenetv3_large_efficientnet_b0_cbam_post_fusion,lymphoma,cbam,32,100,0.0001,validation,0.8214,0.827,0.8195,0.8217,0.9092,0.1147,0.9749
dual_fusion_mobilenetv3_large_efficientnet_b0_cbam_post_fusion,lymphoma,cbam,32,100,0.0001,test,0.8596,0.8586,0.8593,0.8533,0.9306,0.097,0.9749
dual_fusion_mobilenetv3_large_efficientnet_b0_cbam_pre_fusion,lymphoma,cbam,32,140,0.0001,train,0.9425,0.9414,0.9425,0.9411,0.9719,0.0542,0.9877
dual_fusion_mobilenetv3_large_efficientnet_b0_cbam_pre_fusion,lymphoma,cbam,32,140,0.0001,validation,0.8571,0.8799,0.8486,0.8542,0.9255,0.0961,0.9877
dual_fusion_mobilenetv3_large_efficientnet_b0_cbam_pre_fusion,lymphoma,cbam,32,140,0.0001,test,0.8947,0.8923,0.8943,0.8915,0.9482,0.0675,0.9877
edf,lymphoma,none,32,100,0.0001,train,0.8889,0.8891,0.8901,0.8878,0.9454,0.0968,0.9203
edf,lymphoma,none,32,100,0.0001,validation,0.7143,0.7404,0.7035,0.7075,0.8524,0.2505,0.9203
edf,lymphoma,none,32,100,0.0001,test,0.7719,0.7799,0.7666,0.7701,0.8844,0.2031,0.9203
caef,lymphoma,none,32,100,0.0001,train,0.8429,0.8405,0.8411,0.8393,0.923,0.118,0.898
caef,lymphoma,none,32,100,0.0001,validation,0.7143,0.7238,0.7067,0.7093,0.8543,0.2782,0.898
caef,lymphoma,none,32,100,0.0001,test,0.807,0.8148,0.8092,0.8097,0.9029,0.2401,0.898
caef,lymphoma,none,32,100,0.0001,train,0.8851,0.8852,0.8859,0.8836,0.9438,0.1113,0.9117
caef,lymphoma,none,32,100,0.0001,validation,0.6964,0.698,0.6754,0.667,0.8448,0.2415,0.9117
caef,lymphoma,none,32,100,0.0001,test,0.7719,0.7799,0.7666,0.7701,0.8844,0.2231,0.9117
mief,lymphoma,none,32,100,0.0001,train,0.8697,0.8739,0.8737,0.8694,0.9366,0.1268,0.9146
mief,lymphoma,none,32,100,0.0001,validation,0.75,0.7585,0.7406,0.7433,0.8724,0.2253,0.9146
mief,lymphoma,none,32,100,0.0001,test,0.7719,0.774,0.7704,0.7718,0.8848,0.2121,0.9146
mief,lymphoma,none,32,100,0.0001,train,0.931,0.9308,0.9297,0.9294,0.9656,0.0718,0.9277
mief,lymphoma,none,32,100,0.0001,validation,0.8929,0.9039,0.8883,0.8924,0.9451,0.1139,0.9277
mief,lymphoma,none,32,100,0.0001,test,0.7895,0.799,0.7896,0.7901,0.8951,0.1803,0.9277
mief,lymphoma,none,32,100,0.0001,train,0.8544,0.8513,0.8515,0.8485,0.9284,0.1403,0.8306
mief,lymphoma,none,32,100,0.0001,validation,0.7143,0.7513,0.7135,0.7074,0.8554,0.2956,0.8306
mief,lymphoma,none,32,100,0.0001,test,0.6316,0.7132,0.6243,0.6239,0.8143,0.285,0.8306
caef,lymphoma,none,32,100,0.0001,train,0.7241,0.7351,0.7271,0.7184,0.8646,0.2518,0.8226
caef,lymphoma,none,32,100,0.0001,validation,0.625,0.6633,0.6024,0.5789,0.8054,0.3962,0.8226
caef,lymphoma,none,32,100,0.0001,test,0.6316,0.6138,0.6201,0.6159,0.8169,0.4036,0.8226
cef,lymphoma,none,32,100,0.0001,train,0.8621,0.8589,0.8591,0.8589,0.9314,0.1352,0.9327
cef,lymphoma,none,32,100,0.0001,validation,0.8929,0.8948,0.892,0.8929,0.9461,0.1121,0.9327
cef,lymphoma,none,32,100,0.0001,test,0.8421,0.8368,0.8376,0.836,0.9218,0.2197,0.9327
cef,lymphoma,none,32,100,0.0001,train,0.8697,0.8711,0.8718,0.8681,0.9364,0.1129,0.9232
cef,lymphoma,none,32,100,0.0001,validation,0.75,0.758,0.7353,0.73,0.8719,0.2217,0.9232
cef,lymphoma,none,32,100,0.0001,test,0.7895,0.7869,0.7924,0.7819,0.8964,0.1803,0.9232
cef,lymphoma,none,32,100,0.0001,train,0.8736,0.877,0.8763,0.8738,0.938,0.1037,0.9104
cef,lymphoma,none,32,100,0.0001,validation,0.8393,0.842,0.8343,0.8365,0.9185,0.1542,0.9104
cef,lymphoma,none,32,100,0.0001,test,0.7193,0.7271,0.7132,0.7143,0.8599,0.2123,0.9104
caef,lymphoma,none,32,100,0.0001,train,0.8238,0.8365,0.8255,0.8191,0.9147,0.135,0.9038
caef,lymphoma,none,32,100,0.0001,validation,0.7857,0.7865,0.7829,0.783,0.8924,0.2151,0.9038
caef,lymphoma,none,32,100,0.0001,test,0.7368,0.7427,0.7427,0.7368,0.8701,0.1741,0.9038
mief,lymphoma,none,32,100,0.0001,train,0.8314,0.8438,0.8344,0.8309,0.9185,0.1351,0.9568
mief,lymphoma,none,32,100,0.0001,validation,0.7857,0.7875,0.784,0.7847,0.8932,0.1786,0.9568
mief,lymphoma,none,32,100,0.0001,test,0.8421,0.8623,0.8463,0.8473,0.921,0.1221,0.9568
